PLAYER,HEIGHT,WEIGHT,MIN,FGA,FGA (LESS THAN 8FT),FGA (8-16 FT),FGA (16-24 FT),FGA (24+ FT),OFF BOX OUTS,DEF BOX OUTS,ISO %,ROLL-HANDLE %,ROLL-MAN %,POST-UP %,DIST MILES OFF,DIST MILES DEF,DFGA,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC/TOUCH,AVG DRIB/TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES
Semi Ojeleye,0.45,0.529801325,891,0.178451178,0.289308176,0.037735849,0.056603774,0.616352201,0.030088652,0.193041526,,,0.066,,0.420875421,0.689113356,0.403608737,0.406389307,0.26737251,0.126375682,0.248427673,0.084194978,0.07978279,0.024452172,0.11124315
Serge Ibaka,0.75,0.496688742,1377,0.452432825,0.462279294,0.157303371,0.113964687,0.266452648,0.301771478,0.379084967,,,0.31,0.065,0.35221496,0.649237473,0.525203434,0.539628835,0.580746973,0.157905517,0.235849057,0.05465288,0.619489901,0.180822784,0.495868161
Seth Curry,0.25,0.165562914,1448,0.367403315,0.184210526,0.139097744,0.116541353,0.558270677,0,0.023480663,0.045,0.231,,,0.383287293,0.616022099,0.261368466,0.408155923,0.483526882,0.254740655,0.501572327,0.375184638,0.040910719,0.002149456,0.022817138
Shabazz Napier,0.15,0.099337748,1234,0.334683955,0.288135593,0.104116223,0.070217918,0.537530266,0.010862637,0.047001621,0.056,0.418,,,0.38006483,0.628849271,0.31864273,0.805389401,0.527047081,0.707963026,0.709119497,0.595273264,0.041604721,0.005044428,0.071397549
Shai Gilgeous-Alexander,0.4,0.132450331,2214,0.422312556,0.50802139,0.187165775,0.067379679,0.237433155,0,0.037037037,0.135,0.372,,,0.388888889,0.668473351,0.353982813,0.568598611,0.50340154,0.433174173,0.61163522,0.518463811,0.058864132,0.002811574,0.049742872
Shake Milton,0.4,0.298013245,611,0.355155483,0.34562212,0.138248848,0.02764977,0.488479263,0,0.036006547,,0.23,,,0.417348609,0.677577741,0.264173906,0.572562002,0.480510576,0.470255331,0.661949686,0.555391433,0.038781487,0,0.07209867
Shamorie Ponds,0.15,0.099337748,11,0.454545455,0.6,0,0,0.4,0,0,,,,,0.363636364,0.727272727,0.128205128,0.722800378,0.508384349,0.705960706,0.896226415,0.726735598,0,0,0.200237671
Shaquille Harrison,0.5,0.198675497,484,0.340909091,0.666666667,0.066666667,0.018181818,0.236363636,0.083085709,0.045454545,0.077,0.208,,,0.423553719,0.768595041,0.343822844,0.535255583,0.516472282,0.304846668,0.454402516,0.316100443,0.146872864,0.006430604,0.127423972
Skal Labissiere,0.65,0.496688742,567,0.259259259,0.591836735,0.238095238,0.081632653,0.088435374,0.354616253,0.261022928,,,0.275,0.088,0.402116402,0.705467372,0.739836295,0.431194406,0.440868756,0.136958867,0.256289308,0.05465288,0.515422153,0.164677893,0.539970721
Solomon Hill,0.45,0.437086093,992,0.25,0.25,0.068548387,0.052419355,0.629032258,0.067562976,0.1875,0.069,,0.082,,0.396169355,0.675403226,0.348040736,0.502268543,0.503413252,0.172220253,0.275157233,0.122599705,0.119432907,0.043925172,0.079933586
Spencer Dinwiddie,0.4,0.364238411,1994,0.512036108,0.464250735,0.115572968,0.029382958,0.38589618,0.006722414,0.060180542,0.148,0.482,,,0.409227683,0.621865597,0.308168094,0.753279549,0.415911429,0.847046634,0.90408805,0.76070901,0.053475275,0.017169776,0.039766358
Stanley Johnson,0.45,0.543046358,96,0.322916667,0.387096774,0.096774194,0.096774194,0.419354839,0,0.125,,,,,0.40625,0.6875,0.503472222,0.586647877,0.442718037,0.364010989,0.493710692,0.308714919,0.041138001,0.03242096,0.0458878
Stanton Kidd,0.45,0.370860927,15,0.2,0.666666667,0,0,0.333333333,0,0,,,,,0.4,0.8,0.717948718,0.397540208,0.372815189,0,0.185534591,0.090103397,0,0,0
Stephen Curry,0.3,0.165562914,139,0.589928058,0.243902439,0.036585366,0.12195122,0.597560976,0.096435211,0.028776978,,0.3,,,0.460431655,0.690647482,0.216749677,0.903283806,0.647732865,0.614541334,0.558176101,0.471196455,0.198882999,0,0.14261532
Sterling Brown,0.4,0.390728477,665,0.327819549,0.357798165,0.059633028,0.059633028,0.518348624,0.060471403,0.090225564,,0.164,,,0.407518797,0.757894737,0.353190669,0.496178004,0.408695148,0.286099865,0.468553459,0.339734121,0.071264628,0.014040957,0.109302668
